Time,CH1 (V),CH2 (V),CH3 (V),CH4 (V),CH5 (m/s^2),CH6 (m/s^2),CH7 (m/s^2),CH8 (C)
2025-06-26_16-49-01.038,1.026052,1.026021,1.026052,1.026021,0.1274,-0.1078,9.9764,18.909119
2025-06-26_16-49-01.302,1.026052,1.026021,1.026052,1.026021,0.0784,-0.0784,9.966601,18.909119
2025-06-26_16-49-01.553,1.026052,1.026021,1.026052,1.026021,0.1176,-0.0196,9.9764,18.909119
2025-06-26_16-49-01.804,1.026052,1.026021,1.026052,1.026021,0.1176,-0.0392,9.9568,18.909119
2025-06-26_16-49-02.055,1.026052,1.026021,1.026052,1.026021,0.1568,-0.0784,9.907801,18.909119
2025-06-26_16-49-02.307,1.026052,1.026021,1.026052,1.026021,0.098,-0.0686,9.947001,18.909119
2025-06-26_16-49-02.571,1.026052,1.026021,1.026052,1.026021,0.098,-0.0686,9.917601,18.909119
2025-06-26_16-49-02.833,1.026052,1.026021,1.026052,1.026021,0.1176,-0.0784,10.241001,19.007843
2025-06-26_16-49-03.095,1.026052,1.026021,1.026052,1.026021,0.0882,-0.049,10.0548,18.909119
2025-06-26_16-49-03.360,1.026052,1.026021,1.026052,1.026021,0.539,-0.1764,10.192001,18.909119
2025-06-26_16-49-03.617,1.026052,1.026021,1.026052,1.026021,2.5872,0.4312,12.681201,19.007843
2025-06-26_16-49-03.876,1.026052,1.026021,1.026052,1.026021,4.0082,0.1274,10.642801,19.007843
2025-06-26_16-49-04.141,1.026052,1.026021,1.026052,1.026021,4.9784,-0.1862,8.839601,18.909119
2025-06-26_16-49-04.404,1.026052,1.026021,1.026052,1.026021,5.537,-0.0294,8.4672,19.007843
2025-06-26_16-49-04.655,1.026052,1.026021,1.026052,1.026021,5.194,-0.1176,8.5064,19.007843
2025-06-26_16-49-04.919,1.026052,1.026021,1.026052,1.026021,4.4982,-0.0392,8.800401,19.007843
2025-06-26_16-49-05.179,1.026052,1.026021,1.026052,1.026021,1.225,0.0882,9.172801,19.007843
2025-06-26_16-49-05.441,1.026052,1.026021,1.026052,1.026021,0.4018,-0.0882,9.819601,19.007843
2025-06-26_16-49-05.697,1.026052,1.026021,1.026052,1.026021,0.1568,-0.0588,9.947001,19.007843
2025-06-26_16-49-05.960,1.026052,1.026021,1.026052,1.026021,0.1372,-0.0784,9.9764,19.007843
2025-06-26_16-49-06.211,1.026052,1.026021,1.026052,1.026021,0.1078,-0.0784,9.966601,19.007843
2025-06-26_16-49-06.462,1.026052,1.026021,1.026052,1.026021,0.0882,-0.0686,9.9862,19.007843
2025-06-26_16-49-06.713,1.026052,1.026021,1.026052,1.026021,0.098,-0.1176,9.907801,18.909119
2025-06-26_16-49-06.968,1.026052,1.026021,1.026052,1.026021,0.1176,-0.0686,9.917601,19.007843
